Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
297.5,308.6,1596,37.1,30,0
297.5,308.5,1446,41.9,32,0
297.6,308.5,1466,39.7,34,0
297.6,308.5,1848,23.7,37,0
297.5,308.5,1484,44.7,40,0
297.4,308.3,1493,41.2,43,0
297.3,308.3,1504,36.3,45,0
297.3,308.3,1538,38.5,47,0
297.4,308.4,1341,52.2,49,0
297.4,308.3,1535,34.6,51,0
297.4,308.5,1389,39.2,54,0
297.5,308.5,1393,46.6,56,0
297.4,308.5,1469,45.1,63,0
297.4,308.4,1582,37.2,68,0
297.5,308.6,1793,26.7,70,0
297.5,308.6,1452,39,72,0
297.6,308.7,1376,59.9,74,0
297.5,308.6,1552,44.9,77,0
297.6,308.7,1622,37.9,79,0
297.6,308.7,1419,41.7,81,0
297.5,308.6,1440,46.1,84,0
297.4,308.6,1643,31,89,0
297.4,308.7,1510,36.2,92,0
297.4,308.7,1468,46.6,94,0
297.4,308.7,1429,57.4,96,0
297.3,308.7,1478,47.6,98,0
297.4,308.6,1276,53.6,103,0
297.3,308.6,1486,42.6,105,0
297.4,308.6,1476,42.3,107,0
297.3,308.6,1431,42,109,0
297.4,308.7,1402,40.2,114,0
297.4,308.7,1433,43.4,116,0
297.3,308.6,1511,35.7,120,0
297.3,308.6,1456,42.9,122,0
297.2,308.5,1550,41.5,125,0
297.2,308.5,2182,16.5,127,0
297.3,308.7,1619,31.6,129,0
297.3,308.8,1586,32.7,131,0
297.3,308.8,1499,44.2,134,0
297.3,308.8,1419,42.4,139,0
297.4,309,1497,41.8,144,0
297.4,309,1520,37,147,0
297.4,309.1,1478,49.8,150,0
297.4,309.1,1380,41.1,152,0
297.4,309,1570,37.9,154,0
297.4,309,1468,41.4,156,0
297.4,309,1833,22.6,161,0
297.4,308.9,1323,57.3,163,0
297.4,309,1583,32,166,0
297.3,309,1556,39.5,168,0
297.3,309,1548,37.4,171,0
297.4,309,1324,56.9,173,0
297.4,309,1568,33.7,175,0
297.4,309,1685,30.7,177,0
297.4,309.1,1582,35.9,180,0
297.4,309.1,1463,35,183,0
297.4,309.2,1584,42.8,186,0
297.5,309.2,1347,55.8,188,0
297.4,309.2,1459,37.9,191,0
297.4,309.2,1420,45.6,193,0
297.5,309.3,1404,43.5,195,0
297.5,309.3,1470,38.8,197,0
297.6,309.4,1326,49.8,199,0
297.5,309.3,1459,49.7,201,0
297.5,309.2,1530,40,206,0
297.4,309,1505,39.2,209,0
297.5,309.1,1611,30.2,211,0
297.5,309.1,1515,35.1,213,0
297.5,309.2,1804,27.4,215,0
297.6,309.3,1464,46.2,218,0
297.6,309.2,1390,43.3,221,0
297.6,309.2,1442,48.1,0,0
297.6,309.3,1529,41.9,3,0
297.6,309.3,1610,35,6,0
297.6,309.3,1543,34.3,8,0
297.8,309.4,1445,48.2,10,0
297.7,309.3,1893,24.6,15,0
297.6,309.3,1415,41.3,17,0
297.5,309.3,1564,37.5,20,0
297.5,309.3,1479,39.4,22,0
297.5,309.2,1426,44.8,24,0
297.4,309.2,1428,38.8,26,0
297.4,309.2,1620,33.2,28,0
297.5,309.2,1715,28,30,0
297.5,309.3,1732,29.9,32,0
297.5,309.4,1391,58.2,34,0
297.6,309.5,1924,20.6,37,0
297.7,309.5,2027,19.8,39,0
297.6,309.5,1617,36.2,42,0
297.5,309.4,1497,35.8,44,0
297.5,309.5,1448,43.7,46,0
297.4,309.4,1401,45.9,49,0
297.4,309.4,1620,35.4,51,0
297.4,309.4,1466,45.5,53,0
297.6,309.5,1373,50.6,55,0
297.6,309.6,1592,35.8,57,0
